dataset,dataset_label,retriever,retriever_label,method,split,run_name,n_queries,average_chunk_tokens,gold_ndcg@5,gold_recall@5,gold_ndcg@10,gold_recall@10,silver_loose_ndcg@5,silver_loose_recall@5,silver_loose_ndcg@10,silver_loose_recall@10,union_loose_ndcg@5,union_loose_recall@5,union_loose_ndcg@10,union_loose_recall@10,gold_hit@5,gold_hit@10,silver_strict_hit@5,silver_strict_hit@10,strict_union_hit@5,strict_union_hit@10,source_path
loogle,LooGLE,bm25,BM25,HyDE,test,loogle_retrieval_ablation_hyde,534,479.371362048894,0.746780100399,0.870999637155,0.770210770636,0.942235123367,0.633216995478,0.625,0.687818854683,0.75,0.745929440437,0.869156943244,0.769593602727,0.940795159896,0.877358490566,0.949056603774,0.5,0.75,0.874531835206,0.947565543071,loogle/hyde/bm25/top_10/loogle_retrieval_ablation_hyde/leaderboard_row.json
loogle,LooGLE,contriever,Contriever,HyDE,test,loogle_retrieval_ablation_hyde,534,479.371362048894,0.549177626211,0.703900580552,0.583687541933,0.810867198839,0.326643399096,0.375,0.377738998493,0.5,0.547510703162,0.701436905791,0.582144856214,0.808538605589,0.711320754717,0.816981132075,0.25,0.25,0.707865168539,0.812734082397,loogle/hyde/top_10/loogle_retrieval_ablation_hyde/leaderboard_row.json
loogle,LooGLE,bge_m3,BGE-M3,HyDE,test,loogle_retrieval_ablation_hyde,534,479.371362048894,0.604992401327,0.74151850508,0.64433619402,0.864051161103,0.489373631548,0.625,0.628183978343,1.0,0.604126343127,0.740645707289,0.64421520364,0.865069504466,0.749056603774,0.869811320755,0.5,1.0,0.747191011236,0.870786516854,loogle/hyde/bge_m3/top_10/loogle_retrieval_ablation_hyde/leaderboard_row.json
loogle,LooGLE,qwen,Qwen,HyDE,test,loogle_retrieval_ablation_hyde,534,479.371362048894,0.612348395943,0.732438316401,0.64899212709,0.846244557329,0.469303828835,0.625,0.469303828835,0.625,0.611276901059,0.731633535004,0.647646147328,0.844587294728,0.739622641509,0.850943396226,0.5,0.5,0.737827715356,0.848314606742,loogle/hyde/qwen/top_10/loogle_retrieval_ablation_hyde/leaderboard_row.json
loogle,LooGLE,jina,Jina,HyDE,test,loogle_retrieval_ablation_hyde,534,479.371362048894,0.543520354767,0.682910014514,0.586694301004,0.818296444122,0.595803221862,0.625,0.641947146057,0.75,0.543911986731,0.682476231634,0.587108179993,0.817784860271,0.690566037736,0.824528301887,0.5,0.5,0.689138576779,0.822097378277,loogle/hyde/jina/top_10/loogle_retrieval_ablation_hyde/leaderboard_row.json
qasper_64k,QASPER-64K,bm25,BM25,HyDE,test,qasper_64k_retrieval_ablation_hyde,1372,88.834489189347,0.179111804477,0.241684245617,0.208321933714,0.327613949025,0.150610847305,0.147147004777,0.178516011366,0.22197971991,0.173576139378,0.173640864494,0.200186520733,0.250570114179,0.317384370016,0.406698564593,0.045904590459,0.100810081008,0.179467680608,0.251711026616,qasper_64k/hyde/bm25/top_10/qasper_64k_retrieval_ablation_hyde/leaderboard_row.json
qasper_64k,QASPER-64K,contriever,Contriever,HyDE,test,qasper_64k_retrieval_ablation_hyde,1372,88.834489189347,0.128533604438,0.166724778531,0.168011757706,0.280186788762,0.128764418588,0.122233862787,0.152997437949,0.19114405403,0.144643066969,0.141645188305,0.172035196649,0.220627162091,0.237639553429,0.360446570973,0.040504050405,0.0900090009,0.14144486692,0.225855513308,qasper_64k/hyde/contriever/top_10/qasper_64k_retrieval_ablation_hyde/leaderboard_row.json
qasper_64k,QASPER-64K,bge_m3,BGE-M3,HyDE,test,qasper_64k_retrieval_ablation_hyde,1372,88.834489189347,0.172123427146,0.231682545403,0.203898136349,0.318142919089,0.149219392665,0.141531157204,0.172049700059,0.204784916162,0.171651298337,0.173873815643,0.196206483094,0.242762290184,0.301435406699,0.398724082935,0.057605760576,0.105310531053,0.184030418251,0.253231939163,qasper_64k/hyde/bge_m3/top_10/qasper_64k_retrieval_ablation_hyde/leaderboard_row.json
qasper_64k,QASPER-64K,qwen,Qwen,HyDE,test,qasper_64k_retrieval_ablation_hyde,1372,88.834489189347,0.245926922907,0.318735158046,0.283848386577,0.427873389031,0.192966115135,0.181973711839,0.224875061822,0.271696816866,0.228252190508,0.22377426956,0.258453810954,0.313186978791,0.411483253589,0.511961722488,0.087308730873,0.16201620162,0.250190114068,0.336121673004,qasper_64k/hyde/qwen/top_10/qasper_64k_retrieval_ablation_hyde/leaderboard_row.json
qasper_64k,QASPER-64K,jina,Jina,HyDE,test,qasper_64k_retrieval_ablation_hyde,1372,88.834489189347,0.157970292975,0.205979885764,0.196422922229,0.321800137286,0.141543403711,0.136511917894,0.166405740856,0.206698574658,0.160045591885,0.160048191715,0.185868589718,0.236072798476,0.275917065391,0.401913875598,0.054905490549,0.113411341134,0.167300380228,0.260836501901,qasper_64k/hyde/jina/top_10/qasper_64k_retrieval_ablation_hyde/leaderboard_row.json
musique_32k,MuSiQue-32K,bm25,BM25,HyDE,validation,musique_32k_retrieval_ablation_hyde,900,87.4852648813,0.443942253242,0.55191375969,0.502867446208,0.710150193798,0.435332811031,0.381090733601,0.486259947633,0.543589893453,0.539722295472,0.434022185638,0.580625272216,0.593700044941,0.678779069767,0.815406976744,0.257594167679,0.487241798299,0.66,0.833333333333,musique_32k/hyde/bm25/top_10/musique_32k_retrieval_ablation_hyde/leaderboard_row.json
musique_32k,MuSiQue-32K,contriever,Contriever,HyDE,validation,musique_32k_retrieval_ablation_hyde,900,87.4852648813,0.394363274938,0.505329457364,0.446780789749,0.652228682171,0.445247117329,0.386193981743,0.49479354149,0.546020238843,0.524532047675,0.417325643991,0.562552973883,0.569893773937,0.635174418605,0.77761627907,0.31227217497,0.507897934386,0.66,0.818888888889,musique_32k/hyde/contriever/top_10/musique_32k_retrieval_ablation_hyde/leaderboard_row.json
musique_32k,MuSiQue-32K,bge_m3,BGE-M3,HyDE,validation,musique_32k_retrieval_ablation_hyde,900,87.4852648813,0.485797723664,0.598255813953,0.542270732198,0.750847868217,0.460810817992,0.409494344476,0.519824857788,0.590073908121,0.571345405956,0.459300149436,0.616201927003,0.628811751037,0.735465116279,0.857558139535,0.323207776428,0.551640340219,0.731111111111,0.873333333333,musique_32k/hyde/bge_m3/top_10/musique_32k_retrieval_ablation_hyde/leaderboard_row.json
