2026-08-06 14:44:32,535 | INFO | hyde.loogle.runner | Prepared frozen musique_32k population documents=45 chunks=3100 labeled_queries=900
2026-08-06 14:44:32,585 | INFO | hyde.loogle.runner | HyDE generation progress queries=1/900 cache_hits=1
2026-08-06 14:44:32,585 | INFO | hyde.loogle.runner | HyDE generation progress queries=10/900 cache_hits=10
2026-08-06 14:44:32,585 | INFO | hyde.loogle.runner | HyDE generation progress queries=20/900 cache_hits=20
2026-08-06 14:44:32,585 | INFO | hyde.loogle.runner | HyDE generation progress queries=30/900 cache_hits=30
2026-08-06 14:44:32,585 | INFO | hyde.loogle.runner | HyDE generation progress queries=40/900 cache_hits=40
2026-08-06 14:44:32,585 | INFO | hyde.loogle.runner | HyDE generation progress queries=50/900 cache_hits=50
2026-08-06 14:44:32,585 | INFO | hyde.loogle.runner | HyDE generation progress queries=60/900 cache_hits=60
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=70/900 cache_hits=70
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=80/900 cache_hits=80
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=90/900 cache_hits=90
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=100/900 cache_hits=100
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=110/900 cache_hits=110
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=120/900 cache_hits=120
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=130/900 cache_hits=130
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=140/900 cache_hits=140
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=150/900 cache_hits=150
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=160/900 cache_hits=160
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=170/900 cache_hits=170
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=180/900 cache_hits=180
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=190/900 cache_hits=190
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=200/900 cache_hits=200
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=210/900 cache_hits=210
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=220/900 cache_hits=220
2026-08-06 14:44:32,586 | INFO | hyde.loogle.runner | HyDE generation progress queries=230/900 cache_hits=230
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=240/900 cache_hits=240
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=250/900 cache_hits=250
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=260/900 cache_hits=260
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=270/900 cache_hits=270
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=280/900 cache_hits=280
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=290/900 cache_hits=290
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=300/900 cache_hits=300
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=310/900 cache_hits=310
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=320/900 cache_hits=320
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=330/900 cache_hits=330
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=340/900 cache_hits=340
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=350/900 cache_hits=350
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=360/900 cache_hits=360
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=370/900 cache_hits=370
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=380/900 cache_hits=380
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=390/900 cache_hits=390
2026-08-06 14:44:32,587 | INFO | hyde.loogle.runner | HyDE generation progress queries=400/900 cache_hits=400
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=410/900 cache_hits=410
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=420/900 cache_hits=420
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=430/900 cache_hits=430
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=440/900 cache_hits=440
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=450/900 cache_hits=450
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=460/900 cache_hits=460
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=470/900 cache_hits=470
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=480/900 cache_hits=480
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=490/900 cache_hits=490
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=500/900 cache_hits=500
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=510/900 cache_hits=510
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=520/900 cache_hits=520
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=530/900 cache_hits=530
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=540/900 cache_hits=540
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=550/900 cache_hits=550
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=560/900 cache_hits=560
2026-08-06 14:44:32,588 | INFO | hyde.loogle.runner | HyDE generation progress queries=570/900 cache_hits=570
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=580/900 cache_hits=580
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=590/900 cache_hits=590
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=600/900 cache_hits=600
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=610/900 cache_hits=610
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=620/900 cache_hits=620
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=630/900 cache_hits=630
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=640/900 cache_hits=640
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=650/900 cache_hits=650
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=660/900 cache_hits=660
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=670/900 cache_hits=670
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=680/900 cache_hits=680
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=690/900 cache_hits=690
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=700/900 cache_hits=700
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=710/900 cache_hits=710
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=720/900 cache_hits=720
2026-08-06 14:44:32,589 | INFO | hyde.loogle.runner | HyDE generation progress queries=730/900 cache_hits=730
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=740/900 cache_hits=740
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=750/900 cache_hits=750
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=760/900 cache_hits=760
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=770/900 cache_hits=770
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=780/900 cache_hits=780
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=790/900 cache_hits=790
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=800/900 cache_hits=800
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=810/900 cache_hits=810
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=820/900 cache_hits=820
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=830/900 cache_hits=830
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=840/900 cache_hits=840
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=850/900 cache_hits=850
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=860/900 cache_hits=860
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=870/900 cache_hits=870
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=880/900 cache_hits=880
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=890/900 cache_hits=890
2026-08-06 14:44:32,590 | INFO | hyde.loogle.runner | HyDE generation progress queries=900/900 cache_hits=900
2026-08-06 14:44:35,108 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=1/900
2026-08-06 14:44:35,338 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=10/900
2026-08-06 14:44:35,624 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=20/900
2026-08-06 14:44:35,795 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=30/900
2026-08-06 14:44:36,070 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=40/900
2026-08-06 14:44:36,298 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=50/900
2026-08-06 14:44:36,529 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=60/900
2026-08-06 14:44:36,739 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=70/900
2026-08-06 14:44:37,009 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=80/900
2026-08-06 14:44:37,241 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=90/900
2026-08-06 14:44:37,448 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=100/900
2026-08-06 14:44:37,621 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=110/900
2026-08-06 14:44:37,843 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=120/900
2026-08-06 14:44:38,036 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=130/900
2026-08-06 14:44:38,291 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=140/900
2026-08-06 14:44:38,525 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=150/900
2026-08-06 14:44:38,804 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=160/900
2026-08-06 14:44:38,985 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=170/900
2026-08-06 14:44:39,208 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=180/900
2026-08-06 14:44:39,434 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=190/900
2026-08-06 14:44:39,736 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=200/900
2026-08-06 14:44:39,936 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=210/900
2026-08-06 14:44:40,138 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=220/900
2026-08-06 14:44:40,312 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=230/900
2026-08-06 14:44:40,496 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=240/900
2026-08-06 14:44:40,720 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=250/900
2026-08-06 14:44:40,908 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=260/900
2026-08-06 14:44:41,134 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=270/900
2026-08-06 14:44:41,326 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=280/900
2026-08-06 14:44:41,555 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=290/900
2026-08-06 14:44:41,816 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=300/900
2026-08-06 14:44:42,001 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=310/900
2026-08-06 14:44:42,177 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=320/900
2026-08-06 14:44:42,413 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=330/900
2026-08-06 14:44:42,645 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=340/900
2026-08-06 14:44:42,913 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=350/900
2026-08-06 14:44:43,061 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=360/900
2026-08-06 14:44:43,296 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=370/900
2026-08-06 14:44:43,508 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=380/900
2026-08-06 14:44:43,663 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=390/900
2026-08-06 14:44:43,882 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=400/900
2026-08-06 14:44:44,098 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=410/900
2026-08-06 14:44:44,273 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=420/900
2026-08-06 14:44:44,544 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=430/900
2026-08-06 14:44:44,765 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=440/900
2026-08-06 14:44:45,007 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=450/900
2026-08-06 14:44:45,175 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=460/900
2026-08-06 14:44:45,422 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=470/900
2026-08-06 14:44:45,642 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=bm25 queries=480/900
