2026-08-06 14:42:50,566 | INFO | hyde.loogle.runner | Prepared frozen qasper_64k population documents=23 chunks=3129 labeled_queries=1372
2026-08-06 14:42:50,640 | INFO | hyde.loogle.runner | HyDE generation progress queries=1/1372 cache_hits=1
2026-08-06 14:42:50,641 | INFO | hyde.loogle.runner | HyDE generation progress queries=10/1372 cache_hits=10
2026-08-06 14:42:50,641 | INFO | hyde.loogle.runner | HyDE generation progress queries=20/1372 cache_hits=20
2026-08-06 14:42:50,641 | INFO | hyde.loogle.runner | HyDE generation progress queries=30/1372 cache_hits=30
2026-08-06 14:42:50,641 | INFO | hyde.loogle.runner | HyDE generation progress queries=40/1372 cache_hits=40
2026-08-06 14:42:50,641 | INFO | hyde.loogle.runner | HyDE generation progress queries=50/1372 cache_hits=50
2026-08-06 14:42:50,641 | INFO | hyde.loogle.runner | HyDE generation progress queries=60/1372 cache_hits=60
2026-08-06 14:42:50,641 | INFO | hyde.loogle.runner | HyDE generation progress queries=70/1372 cache_hits=70
2026-08-06 14:42:50,641 | INFO | hyde.loogle.runner | HyDE generation progress queries=80/1372 cache_hits=80
2026-08-06 14:42:50,641 | INFO | hyde.loogle.runner | HyDE generation progress queries=90/1372 cache_hits=90
2026-08-06 14:42:50,641 | INFO | hyde.loogle.runner | HyDE generation progress queries=100/1372 cache_hits=100
2026-08-06 14:42:50,641 | INFO | hyde.loogle.runner | HyDE generation progress queries=110/1372 cache_hits=110
2026-08-06 14:42:50,641 | INFO | hyde.loogle.runner | HyDE generation progress queries=120/1372 cache_hits=120
2026-08-06 14:42:50,642 | INFO | hyde.loogle.runner | HyDE generation progress queries=130/1372 cache_hits=130
2026-08-06 14:42:50,642 | INFO | hyde.loogle.runner | HyDE generation progress queries=140/1372 cache_hits=140
2026-08-06 14:42:50,642 | INFO | hyde.loogle.runner | HyDE generation progress queries=150/1372 cache_hits=150
2026-08-06 14:42:50,642 | INFO | hyde.loogle.runner | HyDE generation progress queries=160/1372 cache_hits=160
2026-08-06 14:42:50,642 | INFO | hyde.loogle.runner | HyDE generation progress queries=170/1372 cache_hits=170
2026-08-06 14:42:50,642 | INFO | hyde.loogle.runner | HyDE generation progress queries=180/1372 cache_hits=180
2026-08-06 14:42:50,642 | INFO | hyde.loogle.runner | HyDE generation progress queries=190/1372 cache_hits=190
2026-08-06 14:42:50,642 | INFO | hyde.loogle.runner | HyDE generation progress queries=200/1372 cache_hits=200
2026-08-06 14:42:50,642 | INFO | hyde.loogle.runner | HyDE generation progress queries=210/1372 cache_hits=210
2026-08-06 14:42:50,642 | INFO | hyde.loogle.runner | HyDE generation progress queries=220/1372 cache_hits=220
2026-08-06 14:42:50,642 | INFO | hyde.loogle.runner | HyDE generation progress queries=230/1372 cache_hits=230
2026-08-06 14:42:50,642 | INFO | hyde.loogle.runner | HyDE generation progress queries=240/1372 cache_hits=240
2026-08-06 14:42:50,642 | INFO | hyde.loogle.runner | HyDE generation progress queries=250/1372 cache_hits=250
2026-08-06 14:42:50,642 | INFO | hyde.loogle.runner | HyDE generation progress queries=260/1372 cache_hits=260
2026-08-06 14:42:50,643 | INFO | hyde.loogle.runner | HyDE generation progress queries=270/1372 cache_hits=270
2026-08-06 14:42:50,643 | INFO | hyde.loogle.runner | HyDE generation progress queries=280/1372 cache_hits=280
2026-08-06 14:42:50,643 | INFO | hyde.loogle.runner | HyDE generation progress queries=290/1372 cache_hits=290
2026-08-06 14:42:50,643 | INFO | hyde.loogle.runner | HyDE generation progress queries=300/1372 cache_hits=300
2026-08-06 14:42:50,643 | INFO | hyde.loogle.runner | HyDE generation progress queries=310/1372 cache_hits=310
2026-08-06 14:42:50,643 | INFO | hyde.loogle.runner | HyDE generation progress queries=320/1372 cache_hits=320
2026-08-06 14:42:50,643 | INFO | hyde.loogle.runner | HyDE generation progress queries=330/1372 cache_hits=330
2026-08-06 14:42:50,643 | INFO | hyde.loogle.runner | HyDE generation progress queries=340/1372 cache_hits=340
2026-08-06 14:42:50,643 | INFO | hyde.loogle.runner | HyDE generation progress queries=350/1372 cache_hits=350
2026-08-06 14:42:50,643 | INFO | hyde.loogle.runner | HyDE generation progress queries=360/1372 cache_hits=360
2026-08-06 14:42:50,643 | INFO | hyde.loogle.runner | HyDE generation progress queries=370/1372 cache_hits=370
2026-08-06 14:42:50,643 | INFO | hyde.loogle.runner | HyDE generation progress queries=380/1372 cache_hits=380
2026-08-06 14:42:50,643 | INFO | hyde.loogle.runner | HyDE generation progress queries=390/1372 cache_hits=390
2026-08-06 14:42:50,643 | INFO | hyde.loogle.runner | HyDE generation progress queries=400/1372 cache_hits=400
2026-08-06 14:42:50,643 | INFO | hyde.loogle.runner | HyDE generation progress queries=410/1372 cache_hits=410
2026-08-06 14:42:50,644 | INFO | hyde.loogle.runner | HyDE generation progress queries=420/1372 cache_hits=420
2026-08-06 14:42:50,644 | INFO | hyde.loogle.runner | HyDE generation progress queries=430/1372 cache_hits=430
2026-08-06 14:42:50,644 | INFO | hyde.loogle.runner | HyDE generation progress queries=440/1372 cache_hits=440
2026-08-06 14:42:50,644 | INFO | hyde.loogle.runner | HyDE generation progress queries=450/1372 cache_hits=450
2026-08-06 14:42:50,644 | INFO | hyde.loogle.runner | HyDE generation progress queries=460/1372 cache_hits=460
2026-08-06 14:42:50,644 | INFO | hyde.loogle.runner | HyDE generation progress queries=470/1372 cache_hits=470
2026-08-06 14:42:50,644 | INFO | hyde.loogle.runner | HyDE generation progress queries=480/1372 cache_hits=480
2026-08-06 14:42:50,644 | INFO | hyde.loogle.runner | HyDE generation progress queries=490/1372 cache_hits=490
2026-08-06 14:42:50,644 | INFO | hyde.loogle.runner | HyDE generation progress queries=500/1372 cache_hits=500
2026-08-06 14:42:50,644 | INFO | hyde.loogle.runner | HyDE generation progress queries=510/1372 cache_hits=510
2026-08-06 14:42:50,644 | INFO | hyde.loogle.runner | HyDE generation progress queries=520/1372 cache_hits=520
2026-08-06 14:42:50,644 | INFO | hyde.loogle.runner | HyDE generation progress queries=530/1372 cache_hits=530
2026-08-06 14:42:50,644 | INFO | hyde.loogle.runner | HyDE generation progress queries=540/1372 cache_hits=540
2026-08-06 14:42:50,644 | INFO | hyde.loogle.runner | HyDE generation progress queries=550/1372 cache_hits=550
2026-08-06 14:42:50,644 | INFO | hyde.loogle.runner | HyDE generation progress queries=560/1372 cache_hits=560
2026-08-06 14:42:50,645 | INFO | hyde.loogle.runner | HyDE generation progress queries=570/1372 cache_hits=570
2026-08-06 14:42:50,645 | INFO | hyde.loogle.runner | HyDE generation progress queries=580/1372 cache_hits=580
2026-08-06 14:42:50,645 | INFO | hyde.loogle.runner | HyDE generation progress queries=590/1372 cache_hits=590
2026-08-06 14:42:50,645 | INFO | hyde.loogle.runner | HyDE generation progress queries=600/1372 cache_hits=600
2026-08-06 14:42:50,645 | INFO | hyde.loogle.runner | HyDE generation progress queries=610/1372 cache_hits=610
2026-08-06 14:42:50,645 | INFO | hyde.loogle.runner | HyDE generation progress queries=620/1372 cache_hits=620
2026-08-06 14:42:50,645 | INFO | hyde.loogle.runner | HyDE generation progress queries=630/1372 cache_hits=630
2026-08-06 14:42:50,645 | INFO | hyde.loogle.runner | HyDE generation progress queries=640/1372 cache_hits=640
2026-08-06 14:42:50,645 | INFO | hyde.loogle.runner | HyDE generation progress queries=650/1372 cache_hits=650
2026-08-06 14:42:50,645 | INFO | hyde.loogle.runner | HyDE generation progress queries=660/1372 cache_hits=660
2026-08-06 14:42:50,645 | INFO | hyde.loogle.runner | HyDE generation progress queries=670/1372 cache_hits=670
2026-08-06 14:42:50,645 | INFO | hyde.loogle.runner | HyDE generation progress queries=680/1372 cache_hits=680
2026-08-06 14:42:50,645 | INFO | hyde.loogle.runner | HyDE generation progress queries=690/1372 cache_hits=690
2026-08-06 14:42:50,645 | INFO | hyde.loogle.runner | HyDE generation progress queries=700/1372 cache_hits=700
2026-08-06 14:42:50,645 | INFO | hyde.loogle.runner | HyDE generation progress queries=710/1372 cache_hits=710
2026-08-06 14:42:50,646 | INFO | hyde.loogle.runner | HyDE generation progress queries=720/1372 cache_hits=720
2026-08-06 14:42:50,646 | INFO | hyde.loogle.runner | HyDE generation progress queries=730/1372 cache_hits=730
2026-08-06 14:42:50,646 | INFO | hyde.loogle.runner | HyDE generation progress queries=740/1372 cache_hits=740
2026-08-06 14:42:50,646 | INFO | hyde.loogle.runner | HyDE generation progress queries=750/1372 cache_hits=750
2026-08-06 14:42:50,646 | INFO | hyde.loogle.runner | HyDE generation progress queries=760/1372 cache_hits=760
2026-08-06 14:42:50,646 | INFO | hyde.loogle.runner | HyDE generation progress queries=770/1372 cache_hits=770
2026-08-06 14:42:50,646 | INFO | hyde.loogle.runner | HyDE generation progress queries=780/1372 cache_hits=780
2026-08-06 14:42:50,646 | INFO | hyde.loogle.runner | HyDE generation progress queries=790/1372 cache_hits=790
2026-08-06 14:42:50,646 | INFO | hyde.loogle.runner | HyDE generation progress queries=800/1372 cache_hits=800
2026-08-06 14:42:50,646 | INFO | hyde.loogle.runner | HyDE generation progress queries=810/1372 cache_hits=810
2026-08-06 14:42:50,646 | INFO | hyde.loogle.runner | HyDE generation progress queries=820/1372 cache_hits=820
2026-08-06 14:42:50,646 | INFO | hyde.loogle.runner | HyDE generation progress queries=830/1372 cache_hits=830
2026-08-06 14:42:50,646 | INFO | hyde.loogle.runner | HyDE generation progress queries=840/1372 cache_hits=840
2026-08-06 14:42:50,646 | INFO | hyde.loogle.runner | HyDE generation progress queries=850/1372 cache_hits=850
2026-08-06 14:42:50,646 | INFO | hyde.loogle.runner | HyDE generation progress queries=860/1372 cache_hits=860
