2026-08-06 14:42:50,131 | INFO | hyde.loogle.runner | Prepared frozen qasper_64k population documents=23 chunks=3129 labeled_queries=1372
2026-08-06 14:42:50,205 | INFO | hyde.loogle.runner | HyDE generation progress queries=1/1372 cache_hits=1
2026-08-06 14:42:50,205 | INFO | hyde.loogle.runner | HyDE generation progress queries=10/1372 cache_hits=10
2026-08-06 14:42:50,205 | INFO | hyde.loogle.runner | HyDE generation progress queries=20/1372 cache_hits=20
2026-08-06 14:42:50,205 | INFO | hyde.loogle.runner | HyDE generation progress queries=30/1372 cache_hits=30
2026-08-06 14:42:50,205 | INFO | hyde.loogle.runner | HyDE generation progress queries=40/1372 cache_hits=40
2026-08-06 14:42:50,205 | INFO | hyde.loogle.runner | HyDE generation progress queries=50/1372 cache_hits=50
2026-08-06 14:42:50,205 | INFO | hyde.loogle.runner | HyDE generation progress queries=60/1372 cache_hits=60
2026-08-06 14:42:50,205 | INFO | hyde.loogle.runner | HyDE generation progress queries=70/1372 cache_hits=70
2026-08-06 14:42:50,205 | INFO | hyde.loogle.runner | HyDE generation progress queries=80/1372 cache_hits=80
2026-08-06 14:42:50,205 | INFO | hyde.loogle.runner | HyDE generation progress queries=90/1372 cache_hits=90
2026-08-06 14:42:50,205 | INFO | hyde.loogle.runner | HyDE generation progress queries=100/1372 cache_hits=100
2026-08-06 14:42:50,206 | INFO | hyde.loogle.runner | HyDE generation progress queries=110/1372 cache_hits=110
2026-08-06 14:42:50,206 | INFO | hyde.loogle.runner | HyDE generation progress queries=120/1372 cache_hits=120
2026-08-06 14:42:50,206 | INFO | hyde.loogle.runner | HyDE generation progress queries=130/1372 cache_hits=130
2026-08-06 14:42:50,206 | INFO | hyde.loogle.runner | HyDE generation progress queries=140/1372 cache_hits=140
2026-08-06 14:42:50,206 | INFO | hyde.loogle.runner | HyDE generation progress queries=150/1372 cache_hits=150
2026-08-06 14:42:50,206 | INFO | hyde.loogle.runner | HyDE generation progress queries=160/1372 cache_hits=160
2026-08-06 14:42:50,206 | INFO | hyde.loogle.runner | HyDE generation progress queries=170/1372 cache_hits=170
2026-08-06 14:42:50,206 | INFO | hyde.loogle.runner | HyDE generation progress queries=180/1372 cache_hits=180
2026-08-06 14:42:50,206 | INFO | hyde.loogle.runner | HyDE generation progress queries=190/1372 cache_hits=190
2026-08-06 14:42:50,206 | INFO | hyde.loogle.runner | HyDE generation progress queries=200/1372 cache_hits=200
2026-08-06 14:42:50,206 | INFO | hyde.loogle.runner | HyDE generation progress queries=210/1372 cache_hits=210
2026-08-06 14:42:50,206 | INFO | hyde.loogle.runner | HyDE generation progress queries=220/1372 cache_hits=220
2026-08-06 14:42:50,206 | INFO | hyde.loogle.runner | HyDE generation progress queries=230/1372 cache_hits=230
2026-08-06 14:42:50,206 | INFO | hyde.loogle.runner | HyDE generation progress queries=240/1372 cache_hits=240
2026-08-06 14:42:50,207 | INFO | hyde.loogle.runner | HyDE generation progress queries=250/1372 cache_hits=250
2026-08-06 14:42:50,207 | INFO | hyde.loogle.runner | HyDE generation progress queries=260/1372 cache_hits=260
2026-08-06 14:42:50,207 | INFO | hyde.loogle.runner | HyDE generation progress queries=270/1372 cache_hits=270
2026-08-06 14:42:50,207 | INFO | hyde.loogle.runner | HyDE generation progress queries=280/1372 cache_hits=280
2026-08-06 14:42:50,207 | INFO | hyde.loogle.runner | HyDE generation progress queries=290/1372 cache_hits=290
2026-08-06 14:42:50,207 | INFO | hyde.loogle.runner | HyDE generation progress queries=300/1372 cache_hits=300
2026-08-06 14:42:50,207 | INFO | hyde.loogle.runner | HyDE generation progress queries=310/1372 cache_hits=310
2026-08-06 14:42:50,207 | INFO | hyde.loogle.runner | HyDE generation progress queries=320/1372 cache_hits=320
